DayCode,DayDate,Alternaria,Cladosporium,abc
220,Aug 08,"5,56","98,15","8,3333333333"
221,Aug 09,"12,96","158,33","4,6296296296"
222,Aug 10,"4,63","87,04","4,6296296296"
223,Aug 11,"19,44","212,04","20,3703703704"
224,Aug 12,"3,70","102,78","21,7923280423"
225,Aug 13,"4,63","67,59","5,5555555556"
226,Aug 14,"8,33","119,44","26,8518518519"
227,Aug 15,"30,56","593,52","47,2883597884"
228,Aug 16,"9,26","116,67","23,1481481481"
229,Aug 17,"12,04","43,52","13,8888888889"
230,Aug 18,"7,41","34,26","7,4074074074"
231,Aug 19,"3,70","28,70","14,3849206349"
232,Aug 20,"4,63","50,00","9,2592592593"
233,Aug 21,"34,26","525,00","139,880952381"
234,Aug 22,"120,37","2190,74","83,0357142857"
235,Aug 23,"25,93","397,22","65,7407407407"
236,Aug 24,"13,89","151,85","17,5925925926"
237,Aug 25,"31,48","224,07","62,962962963"
238,Aug 26,"25,93","233,33","50,9259259259"
239,Aug 27,"21,30","214,81","35,1851851852"
240,Aug 28,"27,78","187,96","52,7777777778"
241,Aug 29,"0,00","0,00",0
242,Aug 30,"0,00","0,00",0
243,Aug 31,"0,00","0,00",0
244,Sep 01,"0,00","0,00",0
245,Sep 02,"0,00","0,00",0
246,Sep 03,"0,00","0,00",0
247,Sep 04,"0,00","0,00",0
248,Sep 05,"0,00","0,00",0
249,Sep 06,"0,00","0,00",0
250,Sep 07,"0,00","0,00",0
251,Sep 08,"0,00","0,00",0
252,Sep 09,"0,00","0,00",0
253,Sep 10,"0,00","0,00",0
254,Sep 11,"0,00","0,00",0
255,Sep 12,"0,00","0,00",0
256,Sep 13,"0,00","0,00",0
257,Sep 14,"0,00","0,00",0
258,Sep 15,"0,00","0,00",0
259,Sep 16,"0,00","0,00",0
260,Sep 17,"0,00","0,00",0
261,Sep 18,"0,00","0,00",0
262,Sep 19,"0,00","0,00",0
263,Sep 20,"0,00","0,00",0
264,Sep 21,"0,00","0,00",0
265,Sep 22,"0,00","0,00",0
266,Sep 23,"0,00","0,00",0
267,Sep 24,"0,00","0,00",0
268,Sep 25,"0,00","0,00",0
269,Sep 26,"0,00","0,00",0
270,Sep 27,"0,00","0,00",0
271,Sep 28,"0,00","0,00",0
272,Sep 29,"0,00","0,00",0
273,Sep 30,"0,00","0,00",0
274,Oct 01,"0,00","0,00",0
275,Oct 02,"0,00","0,00",0
276,Oct 03,"0,00","0,00",0
277,Oct 04,"0,00","0,00",0
278,Oct 05,"0,00","0,00",0
279,Oct 06,"0,00","0,00",0
280,Oct 07,"0,00","0,00",0
281,Oct 08,"0,00","0,00",0
282,Oct 09,"0,00","0,00",0
283,Oct 10,"0,00","0,00",0
284,Oct 11,"0,00","0,00",0
285,Oct 12,"0,00","0,00",0
286,Oct 13,"0,00","0,00",0
287,Oct 14,"0,00","0,00",0
288,Oct 15,"0,00","0,00",0
289,Oct 16,"0,00","0,00",0
290,Oct 17,"0,00","0,00",0
291,Oct 18,"0,00","0,00",0
292,Oct 19,"0,00","0,00",0
293,Oct 20,"0,00","0,00",0
294,Oct 21,"0,00","0,00",0
295,Oct 22,"0,00","0,00",0
296,Oct 23,"0,00","0,00",0
297,Oct 24,"0,00","0,00",0
298,Oct 25,"0,00","0,00",0
299,Oct 26,"0,00","0,00",0
300,Oct 27,"0,00","0,00",0
301,Oct 28,"0,00","0,00",0
302,Oct 29,"0,00","0,00",0
303,Oct 30,"0,00","0,00",0
304,Oct 31,"0,00","0,00",0
305,Nov 01,"0,00","0,00",0
306,Nov 02,"0,00","0,00",0
307,Nov 03,"0,00","0,00",0
308,Nov 04,"0,00","0,00",0
309,Nov 05,"0,00","0,00",0
310,Nov 06,"0,00","0,00",0
311,Nov 07,"0,00","0,00",0
312,Nov 08,"0,00","0,00",0
313,Nov 09,"0,00","0,00",0
314,Nov 10,"0,00","0,00",0
315,Nov 11,"0,00","0,00",0
316,Nov 12,"0,00","0,00",0
317,Nov 13,"0,00","0,00",0
318,Nov 14,"0,00","0,00",0
319,Nov 15,"0,00","0,00",0
320,Nov 16,"0,00","0,00",0
321,Nov 17,"0,00","0,00",0
322,Nov 18,"0,00","0,00",0
323,Nov 19,"0,00","0,00",0
324,Nov 20,"0,00","0,00",0
325,Nov 21,"0,00","0,00",0
326,Nov 22,"0,00","0,00",0
327,Nov 23,"0,00","0,00",0
328,Nov 24,"0,00","0,00",0
329,Nov 25,"0,00","0,00",0
330,Nov 26,"0,00","0,00",0
331,Nov 27,"0,00","0,00",0
332,Nov 28,"0,00","0,00",0
333,Nov 29,"0,00","0,00",0
334,Nov 30,"0,00","0,00",0
335,Dec 01,"0,00","0,00",0
336,Dec 02,"0,00","0,00",0
337,Dec 03,"0,00","0,00",0
338,Dec 04,"0,00","0,00",0
339,Dec 05,"0,00","0,00",0
340,Dec 06,"0,00","0,00",0
341,Dec 07,"0,00","0,00",0
342,Dec 08,"0,00","0,00",0
343,Dec 09,"0,00","0,00",0
344,Dec 10,"0,00","0,00",0
345,Dec 11,"0,00","0,00",0
346,Dec 12,"0,00","0,00",0
347,Dec 13,"0,00","0,00",0
348,Dec 14,"0,00","0,00",0
349,Dec 15,"0,00","0,00",0
350,Dec 16,"0,00","0,00",0
351,Dec 17,"0,00","0,00",0
352,Dec 18,"0,00","0,00",0
353,Dec 19,"0,00","0,00",0
354,Dec 20,"0,00","0,00",0
355,Dec 21,"0,00","0,00",0
356,Dec 22,"0,00","0,00",0
357,Dec 23,"0,00","0,00",0
358,Dec 24,"0,00","0,00",0
359,Dec 25,"0,00","0,00",0
360,Dec 26,"0,00","0,00",0
361,Dec 27,"0,00","0,00",0
362,Dec 28,"0,00","0,00",0
363,Dec 29,"0,00","0,00",0
364,Dec 30,"0,00","0,00",0
365,Dec 31,"0,00","0,00",0
