accessibility,address,coordinates,coordinates_type,data_url,dataset,description,email,external_id,fax_number,house_number,id,image_url,last_updated,latitude,location,longitude,name,opening_times,phone_number,po_box,po_box_number,post_name,post_number,street,url,venue_details
,"ALIERTA, AV. CESAREO, 135","[677982.5, 4611327.5]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,info@cdfleta.com,2838,,,824,,2015-05-29T11:42:35Z,41.6338290678223,,-0.863175389093242,Campo Municipal de Fútbol Nuevo Fleta,,666 423752,,,,,,http://www.actiweb.es/cdfleta/,http://ma.tingtun.no/ogd/datasets/data/venues/824/
,"IZQUIERDO MOLINS, FCO, 42","[677347.75, 4610537.5]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,udmontecarlo@udmontecarlo.es,2837,,,823,,2015-05-29T11:42:35Z,41.6268596397073,,-0.871025088899586,Campo Municipal de Fútbol J. L. Violeta,,699878384,,,,,,http://www.udmontecarlo.es,http://ma.tingtun.no/ogd/datasets/data/venues/823/
,"MIRAFLORES, CAMINO DE, 15","[677339.63, 4611493.0]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,ud_sanjose@terra.es,3028,976 381775,,822,,2015-05-29T11:42:35Z,41.6354619166531,,-0.87083938834314,Campo Municipal de Fútbol San José,,976 316 103,,,,,,http://udsanjose.es/,http://ma.tingtun.no/ogd/datasets/data/venues/822/
,"GUTIERREZ MELLADO (A), 45","[673981.66, 4611907.52]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,cfhernancortes@gmail.com,2835,976 754593,,821,,2015-05-29T11:42:35Z,41.6399326380352,,-0.911009031128079,Campo Municipal de Fútbol García Traid,,976 754593,,,,,,http://www.cfhernancortesjunquera.com,http://ma.tingtun.no/ogd/datasets/data/venues/821/
,"MOVERA, AV        MVR, 507","[682543.25, 4612477.0]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,dvdasensi@hotmail.com,2834,,,820,,2015-05-29T11:42:35Z,41.6431446693126,,-0.808107195116981,Campo Municipal de Fútbol Santa Engracia,,,,,,,,http://cdmovera.blogspot.com.es/,http://ma.tingtun.no/ogd/datasets/data/venues/820/
,"IGLESIA           SIS, 34","[680768.61, 4615658.2]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,secretaria@rsdsantaisabel.es,2833,976 57 22 04,,819,,2015-05-29T11:42:35Z,41.6721820497056,,-0.828439361837931,Campo Municipal de Fútbol César Láinez,,976 57 22 04,,,,,,http://www.rsdsantaisabel.es,http://ma.tingtun.no/ogd/datasets/data/venues/819/
,"CLAVERIA, BR      GRP, 10","[663894.0, 4616978.0]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,,2832,,,818,,2015-05-29T11:42:35Z,41.6877134406619,,-1.03066948797797,Campo Municipal de Fútbol San Lorenzo,,658357888,,,,,,http://cdgarrapinillos.com/,http://ma.tingtun.no/ogd/datasets/data/venues/818/
,"CRISTO REY        SGR, 9","[677650.33, 4618162.8]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,udlosmolinos@hotmail.com,2831,976 525252,,817,,2015-05-29T11:42:35Z,41.6954272148639,,-0.865128430283383,Campo Municipal de Fútbol San Gregorio,,976 525252,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/817/
,"SAN CRISTOBAL     PÑF, S/N","[684259.44, 4626374.5]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,adpenaflor_zgz@hotmail.com,2830,,,816,,2015-05-29T11:42:35Z,41.767832885453,,-0.783220237580912,Campo Municipal de Fútbol San Cristóbal,,,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/816/
,"CALVO, MANUEL     MRL, S/N","[671645.09, 4614371.5]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,cdm@cdmiralbueno.com,2829,976489772,,815,,2015-05-29T11:42:35Z,41.6626181714025,,-0.938339200945143,Campo Municipal de Fútbol Miralbueno,,976489772,,,,,,http://www.cfmiralbueno.com/pnfg/,http://ma.tingtun.no/ogd/datasets/data/venues/815/
,"SAGRADA (NTRA.SRA)MNZ, 85","[669127.88, 4619362.5]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,atmonzalbarba@gmail.com,2828,,,814,,2015-05-29T11:42:35Z,41.708082825544,,-0.967141197572686,Campo Municipal de Fútbol La Manzanera,,976788727,,,,,,http://atmonzalbarba.futbolaragon.com,http://ma.tingtun.no/ogd/datasets/data/venues/814/
,"AUTONOMIA ARAGON  CRT, 24","[681327.63, 4608435.5]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,lacartujafutbol@hotmail.com,2827,,,813,,2015-05-29T11:42:35Z,41.607045507165,,-0.823917653665483,Campo Municipal de Fútbol Mariano Estrada Fortún (La Cartuja Baja),,976 454935,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/813/
,"CASTELLAR         JSL, S/N","[675575.31, 4617844.5]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,javiboro72@hotmail.com,2826,,,812,,2015-05-29T11:42:35Z,41.6930226066411,,-0.89014181310772,Campo Municipal de Fútbol Juslibol,,976 513676,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/812/
,"TAJADERAS, CAMINO MNT, 3","[680896.88, 4618745.5]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,jgiranzo@gmail.com,2825,,,811,,2015-05-29T11:42:35Z,41.6999406940055,,-0.8259638361151,Campo Municipal de Fútbol Gran Capitán,,976 576500,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/811/
,"RIO               SJN, 30","[680415.0, 4619877.0]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,anvevi1978@hotmail.com,2824,976 150397,,810,,2015-05-29T11:42:35Z,41.7102343361726,,-0.831408771731227,Campo Municipal de Fútbol El Gállego,,976 150397,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/810/
,"VICOR, SIERRA DE, S/N","[675450.91, 4614530.87]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,fezquerra@zaragoza.es,2823,976285826,,809,,2015-05-29T11:42:35Z,41.66322383033,,-0.892609412238397,Campo Municipal de Fútbol La Almozara-El Carmen,,976285826,,,,,,http://www.cdebro.com/,http://ma.tingtun.no/ogd/datasets/data/venues/809/
,"URBANO, LUIS (FRAY), 83","[678175.21, 4612188.29]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,santodomingojuventud@gmail.com,2692,976 596721,,485,,2015-05-29T11:42:35Z,41.6415339714974,,-0.860606962506672,Campo Municipal de Fútbol Torre Ramona-Joaquín González,,976 596721,,,,,,http://www.santodomingojuventud.com,http://ma.tingtun.no/ogd/datasets/data/venues/485/
"<p><strong>Aparcamiento</strong>: 2 plaza reservada</p>
<div><strong> Zona de Piscinas</strong></div>
<ul>
    <li><strong>Entrada:</strong> Accesible.</li>
    <li><strong> Aseo Adaptado</strong>: S&iacute;</li>
    <li><strong>Vestuarios Adpatado</strong>: S&iacute;.</li>
    <li><strong>Descensor Vaso o Rampa:</strong>: S&iacute;.</li>
    <li><strong>Pediluvio Adaptado:</strong>: S&iacute;.</li>
    <li><strong>Silla Ruedas Zona H&uacute;meda:</strong>: S&iacute;.</li>
</ul>
<div><img src=""/cont/paginas/sinbarreras/img/icono_silla1.jpg"" alt=""Icono de Accesible"" />Accesible</div>
<p><em>Informaci&oacute;n facilitada por Instalaciones Deportivas</em></p>","CABALDOS, CAMINO DE, 25","[677615.22, 4611677.6]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,96,976 723866,,454,,2016-04-11T13:22:08Z,41.6370621793303,,-0.867478027774053,Centro Deportivo Municipal La Granja,,976 723867,,,,,,http://www.zaragoza.es/ciudad/deporte/,http://ma.tingtun.no/ogd/datasets/data/venues/454/
"<p><strong>Aparcamiento</strong>: 1 plaza reservada</p>
<div><strong> Zona de Piscinas</strong></div>
<ul>
    <li><strong> Aseo Adaptado</strong>: S&iacute;</li>
    <li><strong>Descensor Vaso o Rampa:</strong>: S&iacute;.</li>
    <li><strong>Pediluvio Adaptado:</strong>: S&iacute;.</li>
</ul>
<div><img alt=""Icono de Accesible"" src=""/cont/paginas/sinbarreras/img/icono_silla1.jpg"" />Accesible</div>
<p><em>Informaci&oacute;n facilitada por Instalaciones Deportivas</em></p>","MIRAL, DOMINGO, 13","[674812.56, 4612198.5]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,95,976 726168,,453,,2016-04-11T13:20:44Z,41.6423701008401,,-0.900953836284005,Centro Deportivo Municipal Gran Via,,976 726167,,,,,,http://www.zaragoza.es/ciudad/deporte/,http://ma.tingtun.no/ogd/datasets/data/venues/453/
,"SAN VICENTE PAUL, 22","[677012.16, 4613590.31]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,93,,,449,,2015-05-29T11:42:35Z,41.6544125774386,,-0.874147714919606,Administración Mercado San Vicente de Paul,,976 291 434,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/449/
,"PAZ, OCTAVIO, 16","[675631.15, 4616053.46]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,2140,,,448,,2015-05-29T11:42:35Z,41.676889061831,,-0.889998233805048,Centro de Tiempo Libre Os Mesaches (Actur),,976 737 076,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/448/
,"COGULLADA, PG. IND., S/N","[678867.17, 4617423.2]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,mz@mercazaragoza.es,545,976 464181,,446,,2015-05-29T11:42:35Z,41.6884977092719,,-0.850736910981795,Mercazaragoza,,976 464180,,,,,,http://www.mercazaragoza.es,http://ma.tingtun.no/ogd/datasets/data/venues/446/
,Camino Fuente la Caña (Parque Jose Antonio Labordeta),,,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,543,976 726133,,444,,2015-05-29T11:42:35Z,0.0,,0.0,Viveros Municipales Parque Grande,,809 944 (Interno),,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/444/
,"SAN SEBASTIAN, PASEO, S/N","[675358.76, 4611601.2]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,541,976 353300,,442,,2015-05-29T11:42:35Z,41.6368737957732,,-0.894574716758441,Jardín Botánico / Invernadero Parque Grande,,976 726 129,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/442/
,"Depuradora, s/n",,,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,540,976 500766,,441,,2015-05-29T11:42:35Z,0.0,,0.0,Estación Depuradora de Aguas Residuales de La Cartuja,,976 500844,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/441/
,"NOGUERA, CAMINO DE LA, S/N","[672780.88, 4614965.51]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,539,976 445365,,440,,2015-05-29T11:42:35Z,41.6677195610895,,-0.924533819059886,Estación Depuradora de Aguas Residuales de La Almozara,,976 445311,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/440/
,"TORRE DEL PINAR (URB), S/N","[664874.63, 4617677.5]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,ejelpinar@zaragoza.es,538,976 72 61 96,,439,,2015-05-29T11:42:36Z,41.6938076979323,,-1.0186998318225,Escuela Municipal de Jardineria El Pinar,,976 72 61 95,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/439/
,"PEÑAFLOR, AV.     PÑF, 22","[683219.75, 4625401.31]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,537,,,438,,2015-05-29T11:42:36Z,41.7593144270864,,-0.796019466875001,Centro de Protección Animal,,976154352,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/438/
,"SAN CARLOS, PLAZA DE, 4","[676999.67, 4613489.75]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,bancoactividades@zaragoza.es,536,,,437,,2015-05-29T11:42:35Z,41.6535102103063,,-0.874327388979163,Banco de Actividades para Jovenes,,976 721828,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/437/
,"NAVARRA, AVENIDA DE, 54","[674428.89, 4613860.7]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,531,976 534 403,,432,,2015-05-29T11:42:35Z,41.6574158894552,,-0.905072870602326,Centro de Tiempo Libre Musaraña (Delicias),,976 726 171,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/432/
,"SANTA ANA         MNZ, 2-4","[668976.69, 4618854.5]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,530,,,431,,2015-05-29T11:42:35Z,41.7035422090891,,-0.96910131727522,Centro de Tiempo Libre Gusaramix ( Monzalbarba ),,976 786100,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/431/
"<div><img alt="""" src=""/cont/paginas/sinbarreras/img/icono_acomp1.jpg"" /> Accesible con Acompa&ntilde;ante</div>
<ul>
    <li><strong>Acceso</strong>: Entrada adaptada con una  rampa.</li>
    <li><strong>Movilidad en el interior del edificio:</strong>
    <ul>
        <li>Espacios Amplios: S&iacute;.</li>
        <li>Aseos Adaptados: No.<br />
        Pr&oacute;ximamente se trasladan a otro edificio.</li>
    </ul>
    </li>
</ul>
<p><em>Informaci&oacute;n facilitada por Disminuidos F&iacute;sicos de Arag&oacute;n</em></p>","VALDEFIERRO, AVENIDA, 1","[672794.19, 4612608.0]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,gamusinos2003@hotmail.com,529,976 726 191,,430,,2015-05-29T11:42:35Z,41.6464960500704,,-0.925055561685445,Centro de Tiempo Libre Gamusinos (Valdefierro),,976 726 187,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/430/
"<p>&nbsp;</p>
<object type=""application/x-shockwave-flash""></object>","ROSA, LA          MRL, 2","[671382.88, 4614174.9]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,528,,,429,,2015-05-29T11:42:35Z,41.6609049380009,,-0.941543081178074,Centro de Tiempo Libre Birabolas (Miralbueno),,976  726 091,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/429/
"<div><img src=""/cont/paginas/sinbarreras/img/icono_acomp1.jpg"" alt="""" /> Accesible con Acompa&ntilde;ante</div>
<ul>
    <li><strong>Acceso</strong>: Entrada adaptada cota cero.</li>
    <li>Aseo no adaptado.</li>
    <li><strong>Movilidad en el interior del edificio:</strong>
    <ul>
        <li>Espacios Amplios: S&iacute;</li>
    </ul>
    </li>
</ul>
<p><em>Informaci&oacute;n facilitada por Disminuidos F&iacute;sicos de Arag&oacute;n</em></p>
<object type=""application/x-shockwave-flash""></object>","GALICIA           CST, S/N","[664362.13, 4620637.5]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,526,,,427,,2015-05-29T11:42:35Z,41.7205589092869,,-1.02403900111624,Centro de Tiempo Libre Arianta (Casetas),,976 773 402,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/427/
,"HUESCA, CARRETERA DE, S/N","[677660.54, 4619535.21]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,2301,,,399,,2015-05-29T11:42:35Z,41.70777782078,,-0.864596984878082,Depósitos Los Leones-Academia,,976 517451,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/399/
,"SAN AGUSTIN, PLAZA DE, 2","[677408.53, 4613410.17]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,2744,,,398,,2015-05-29T11:42:35Z,41.6527030225975,,-0.869444071130216,Oficina de Voluntarios para la Expo 2008,,976 207366,,,,,,http://www.zaragozaexpo2008.es/,http://ma.tingtun.no/ogd/datasets/data/venues/398/
,"ALONSO V, 30","[677414.75, 4613511.18]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,490,976 726 048 ,,397,,2016-03-01T11:12:42Z,41.6536108266155,,-0.869339447786274,Albergue Municipal,,976 726 047,,,,,,http://www.zaragoza.es/ciudad/sectores/social/albergue/albergue.htm,http://ma.tingtun.no/ogd/datasets/data/venues/397/
,"MAYOR, PLAZA      MVR, 1","[681432.64, 4613337.17]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,2164,976 726174,,395,,2015-06-22T12:04:13Z,41.6511402613289,,-0.821172619479094,Centro Municipal de Servicios Sociales Movera,,976 726172,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/395/
,"POESIA, LA (PLAZA), 3","[676860.52, 4617599.28]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,bibliotecas-parquegoya@zaragoza.es,20559,,,393,,2016-06-15T12:33:19Z,41.6905308888987,,-0.874780533550586,Biblioteca Pública Félix Romeo (Parque Goya),,876 28 13 41,,,,,,bibliotecas-municipales.zaragoza.es,http://ma.tingtun.no/ogd/datasets/data/venues/393/
,"MIRAL, DOMINGO, 3","[674988.81, 4612145.06]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,2505,,,389,,2015-05-29T11:42:35Z,41.6418504221289,,-0.898854530543159,Oficina de Información Electoral,,976 721777,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/389/
,"ALCANADRE, RIO, 7","[675772.34, 4610044.48]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,2504,,,215,,2015-05-29T11:42:35Z,41.6227705206691,,-0.89006949542738,Punto Limpio Fijo de Torrero,,976 389214,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/215/
,"LAGUNAS, NTRA.SRA.DE, S/N","[678514.4, 4616385.22]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,2503,,,214,,2015-05-29T11:42:35Z,41.6792341916724,,-0.85528333980264,Punto Limpio Fijo de Cogullada,,615 812503,,,,,,http://www.zaragoza.es/azar/ayto/medioam/residuos/default.htm,http://ma.tingtun.no/ogd/datasets/data/venues/214/
,"ECHEGARAY Y CABALLERO, S/N","[678611.95, 4613342.4]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,2502,,,213,,2016-10-06T09:36:43Z,41.6518243021485,,-0.855021764650002,Punto Limpio Fijo de San José - Las Fuentes (EN EJECUCIÓN-PRÓXIMA APERTURA),,615359575,,,,,,http://www.zaragoza.es/azar/ayto/medioam/residuos/default.htm,http://ma.tingtun.no/ogd/datasets/data/venues/213/
,"GOMEZ LAGUNA(ALCALDE), S/N","[672985.27, 4611356.58]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,2501,,,212,,2015-05-29T11:42:35Z,41.6351902063747,,-0.923124356666165,Punto Limpio Fijo Universidad - Delicias,,976 755680,,,,,,http://www.zaragoza.es/azar/ayto/medioam/residuos/default.htm,http://ma.tingtun.no/ogd/datasets/data/venues/212/
,"LOPEZ SORIANO,PQ.TEC., S/N","[679738.0, 4605338.0]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/4/,,,2491,,,383,,2015-07-09T14:28:37Z,41.5795246058122,,-0.843909905364549, Complejo para el Tratamiento de Residuos Urbanos de Zaragoza (CTRUZ),,876 242 600,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/383/
